stock_id,date,eps
1227,2021-09-30,0.65
1227,2021-12-31,0.53
1227,2022-03-31,0.36
1227,2022-06-30,0.18
1227,2022-09-30,0.53
1227,2022-12-31,0.27
1227,2023-03-31,0.29
1227,2023-06-30,0.2
1227,2023-09-30,0.55
1227,2023-12-31,0.31
1227,2024-03-31,0.52
1227,2024-06-30,0.33
1227,2024-09-30,0.54
1227,2024-12-31,0.52
1227,2025-03-31,0.39
1227,2025-06-30,0.13
1227,2025-09-30,0.42
1229,2017-03-31,0.5
1229,2017-06-30,0.68
1229,2017-09-30,1.22
1229,2017-12-31,0.71
1229,2018-03-31,0.57
1229,2018-06-30,0.67
1229,2018-09-30,0.6
1229,2018-12-31,0.51
1229,2019-03-31,1.0
1229,2019-06-30,0.25
1229,2019-09-30,0.85
1229,2019-12-31,0.41
1229,2020-03-31,0.2
1229,2020-06-30,0.94
1229,2020-09-30,0.62
1229,2020-12-31,0.67
1229,2021-03-31,0.98
1229,2021-06-30,1.18
1229,2021-09-30,0.43
1229,2021-12-31,0.33
1229,2022-03-31,0.91
1229,2022-06-30,0.95
1229,2022-09-30,0.35
1229,2022-12-31,0.42
1229,2023-03-31,0.74
1229,2023-06-30,0.73
1229,2023-09-30,0.67
1229,2023-12-31,0.5
1229,2024-03-31,0.7
1229,2024-06-30,0.74
1229,2024-09-30,0.44
1229,2024-12-31,0.58
1229,2025-03-31,0.55
1229,2025-06-30,0.74
1229,2025-09-30,0.71
1231,2017-03-31,0.47
1231,2017-06-30,0.46
1231,2017-09-30,0.79
1231,2017-12-31,0.82
1231,2018-03-31,0.84
1231,2018-06-30,0.43
1231,2018-09-30,0.95
1231,2018-12-31,1.04
1231,2019-03-31,0.66
1231,2019-06-30,0.56
1231,2019-09-30,0.54
1231,2019-12-31,1.24
1231,2020-03-31,0.56
1231,2020-06-30,0.74
1231,2020-09-30,1.08
1231,2020-12-31,1.36
1231,2021-03-31,1.02
1231,2021-06-30,0.85
1231,2021-09-30,0.83
1231,2021-12-31,1.33
1231,2022-03-31,1.09
1231,2022-06-30,0.58
1231,2022-09-30,1.04
1231,2022-12-31,1.18
1231,2023-03-31,1.04
1231,2023-06-30,0.3
1231,2023-09-30,0.67
1231,2023-12-31,1.92
1231,2024-03-31,1.18
1231,2024-06-30,0.87
1231,2024-09-30,0.66
1231,2024-12-31,1.51
1231,2025-03-31,0.46
1231,2025-06-30,0.84
1231,2025-09-30,0.94
1232,2017-03-31,1.06
1232,2017-06-30,1.26
1232,2017-09-30,1.47
1232,2017-12-31,1.32
1232,2018-03-31,1.23
1232,2018-06-30,1.46
1232,2018-09-30,1.21
1232,2018-12-31,1.77
1232,2019-03-31,1.86
1232,2019-06-30,1.32
1232,2019-09-30,1.45
1232,2019-12-31,1.46
1232,2020-03-31,1.66
1232,2020-06-30,1.58
1232,2020-09-30,2.17
1232,2020-12-31,2.67
1232,2021-03-31,3.05
1232,2021-06-30,1.68
1232,2021-09-30,0.85
1232,2021-12-31,2.18
1232,2022-03-31,2.98
1232,2022-06-30,2.36
1232,2022-09-30,0.78
1232,2022-12-31,1.54
1232,2023-03-31,2.17
1232,2023-06-30,1.61
